ID,nrpts,area,density,ecc,center_1,center_2
1,197,0.06695046,2942.474,0.7013715,25.48108,17.56137
2,553,0.1961091,2819.858,0.5692314,20.52035,20.36979
3,306,0.1025682,2983.381,0.4874628,16.42416,25.90676
4,4998,1.571364,3180.676,0.8645791,39.48613,26.96596
5,455,0.1835399,2479.026,0.7081059,18.06054,26.50576
6,2562,0.6892454,3717.109,0.8794496,37.58963,29.64385
7,1781,0.5085164,3502.345,0.7978444,29.9233,33.39184
8,1419,0.3435505,4130.397,0.7296624,32.77372,33.85786
9,652,0.1620044,4024.581,0.6272433,34.30929,36.53557
10,3042,0.9602145,3168.042,0.8800799,35.46196,37.20866
11,2254,0.5886449,3829.134,0.9398851,33.78417,37.69217
12,2002,0.6945092,2882.611,0.9433618,28.57121,42.20921
13,266,0.0893349,2977.56,0.8432471,23.7873,41.78125
14,883,0.3398453,2598.241,0.8280884,28.84822,42.68888
15,4462,1.273435,3503.91,0.9092194,39.88258,29.64806
16,1319,0.3014638,4375.318,0.7942719,39.56496,31.83641
17,2528,0.7660773,3299.928,0.4304151,36.40837,35.7113
18,129,0.04841758,2664.322,0.8125239,38.08688,20.45177
19,239,0.0968708,2467.204,0.7438692,17.90569,22.74553
20,1631,0.5098512,3198.972,0.5435719,31.1107,27.42686
21,1564,0.3487006,4485.223,0.861918,27.87641,27.67481
22,20,0.004036067,4955.32,0.9108256,25.30443,28.16413
23,176,0.05239698,3358.972,0.7717249,27.64621,31.08618
24,25,0.005706516,4380.957,0.867632,27.65951,37.18761
25,3067,0.8274871,3706.402,0.7827877,21.27525,37.73913
26,1062,0.2971712,3573.698,0.6812492,19.87687,25.45439
27,46,0.01386493,3317.723,0.2899626,24.73926,31.39985
28,507,0.1597086,3174.532,0.8498055,35.24146,29.9946
29,190,0.05884808,3228.653,0.4229357,33.27544,29.4841
30,164,0.06138434,2671.691,0.5581192,26.37906,17.25331
31,194,0.06586697,2945.331,0.8231933,22.97443,32.62237
32,1352,0.4177265,3236.568,0.8197981,32.20487,25.66593
33,701,0.2025736,3460.47,0.6798007,24.94989,25.34027
34,183,0.07150829,2559.144,0.8920656,39.57587,22.12398
35,2347,0.6277524,3738.735,0.7950043,20.1677,38.30696
36,1911,0.5480771,3486.736,0.6356515,20.25889,39.21645
37,702,0.2922884,2401.738,0.639674,21.09587,40.23016
38,992,0.2402461,4129.1,0.8137931,39.38675,32.70564
39,4076,1.117006,3649.039,0.8958972,36.90236,33.12817
40,578,0.1862685,3103.047,0.8029698,34.48945,39.57404
41,1115,0.2473076,4508.555,0.8568028,22.6296,41.26822
42,76,0.03923178,1937.205,0.424991,40.90005,21.04925
43,361,0.08680017,4158.978,0.515096,19.35553,24.81629
44,4644,1.353004,3432.362,0.943977,37.83895,34.05418
45,510,0.1766784,2886.601,0.7921399,23.17343,17.58976
46,675,0.1757785,3840.061,0.9417515,21.00503,41.09706
47,356,0.07020312,5071,0.6880565,23.59608,31.9967
48,571,0.176443,3236.173,0.8608002,41.29675,22.65705
49,1026,0.3558119,2883.546,0.7214608,39.04592,28.50335
50,2374,0.6101388,3890.918,0.8599201,37.16066,28.01544
